-479494	-1850.79	-0.0307927	4.31193e+08
-404668	-2001.64	-0.0374128	3.88035e+08
-345326	-1422.79	-0.0335589	3.15535e+08
-342997	-1416.04	-0.0309737	3.56769e+08
-404559	-1434	-0.0256262	4.38646e+08
-446560	-1686.62	-0.0250875	4.56115e+08
-325208	-1543.57	-0.0389809	2.74385e+08
-475061	-2051.51	-0.032169	4.71045e+08
-482528	-1889.67	-0.0266686	4.94102e+08
-418081	-1752.95	-0.02873	4.46963e+08
-493321	-1827.77	-0.027288	4.9152e+08
-382479	-1484.65	-0.027443	4.14203e+08
-360510	-1435.35	-0.0275335	3.9138e+08
-338837	-1687.19	-0.0436495	2.77487e+08
-489408	-1626.72	-0.0232488	4.98273e+08
-404331	-1729.87	-0.0343259	3.54735e+08
-483631	-1817.05	-0.0255491	4.98044e+08
-491068	-2041.76	-0.0326143	4.39641e+08
-455609	-1630.48	-0.0246048	4.95687e+08
-404502	-1751.73	-0.0310142	4.20874e+08
-499863	-1788.4	-0.0255316	5.10732e+08
-453224	-2095.26	-0.0332472	4.63527e+08
-382863	-1568.64	-0.0334966	3.47891e+08
-429592	-2118.24	-0.0398083	4.04115e+08
-430896	-1794.43	-0.0280718	4.70488e+08
-354172	-1666.68	-0.0405955	2.91845e+08
-408742	-1506.08	-0.0265674	4.25887e+08
-474164	-2185.21	-0.0355632	4.53056e+08
-398872	-1502.92	-0.0287815	4.02779e+08
-341403	-1502.63	-0.0372495	2.91567e+08
-418319	-1846.55	-0.0320755	3.76846e+08
-477010	-1840.42	-0.02882	4.55107e+08
-503581	-2090.94	-0.0337788	4.30431e+08
-476714	-1785.62	-0.0255652	5.09709e+08
-376513	-1571.51	-0.0275295	4.31387e+08
-446835	-1563.55	-0.024007	4.73844e+08
-510819	-2065.51	-0.0328725	4.3137e+08
-476780	-2047.61	-0.0327869	4.43079e+08
-351327	-1640.13	-0.0362355	3.50861e+08
-425089	-2021.98	-0.0434182	3.40422e+08
-448397	-2050.46	-0.0350033	4.1395e+08
-434943	-1807.49	-0.0323822	3.67526e+08
-482886	-1987.48	-0.0319073	4.76275e+08
-410640	-1571.57	-0.0267794	4.43664e+08
-381481	-1712.98	-0.0353492	3.29687e+08
-317214	-1369.36	-0.029013	3.6926e+08
-333175	-1347.02	-0.0267501	4.18786e+08
-345579	-1369.09	-0.0285954	3.69374e+08
-367879	-1302.99	-0.0275484	3.5501e+08
-448980	-1891.84	-0.0325586	3.77528e+08
-470598	-1777.28	-0.0274384	4.69208e+08
-345062	-1336.5	-0.0288686	3.43501e+08
-361240	-1346.57	-0.0273381	3.60295e+08
-373003	-1425.55	-0.0270992	3.6858e+08
-409915	-1855.75	-0.0345132	3.42304e+08
-430597	-1559.59	-0.0270007	3.9511e+08
-347223	-1540.45	-0.0319388	3.41221e+08
-480103	-1989.3	-0.0303899	4.70415e+08
-396149	-1842.19	-0.0355386	3.64274e+08
-423496	-1707.4	-0.0324326	3.89296e+08
-426691	-2003.64	-0.0403211	3.65418e+08
-402838	-1702.95	-0.0344057	3.35839e+08
-357414	-1438.31	-0.0264007	4.05162e+08
-417945	-1773	-0.0299706	4.65707e+08
-484301	-1733.19	-0.0260207	4.60646e+08
-459383	-1836.3	-0.0306946	4.31799e+08
-455018	-1625.53	-0.0257172	4.57931e+08
-379764	-1389.2	-0.0254769	4.5787e+08
-390428	-1525.8	-0.0289882	3.47082e+08
-444502	-1796.24	-0.0313299	4.13788e+08
-435350	-1808.9	-0.0332212	3.62635e+08
-401426	-1649.26	-0.0290022	3.95266e+08
-457640	-1837.51	-0.0280606	4.48567e+08
-417492	-1576.23	-0.0248967	4.39658e+08
-350177	-1542.24	-0.0366157	3.0172e+08
-486708	-2070.79	-0.0330179	4.7157e+08
-513838	-1934.34	-0.0281596	5.17334e+08
-422276	-1633.4	-0.0315085	3.36667e+08
-364645	-1417.68	-0.030305	3.57272e+08
-367338	-1847.88	-0.0409584	3.48311e+08
-374943	-1739.09	-0.0434909	3.04654e+08
-527263	-2003.08	-0.0298099	4.27581e+08
-420284	-1953.99	-0.0391952	3.58938e+08
-446504	-2214.72	-0.0402706	4.13679e+08
-472070	-1805.53	-0.0249932	5.05948e+08
-439568	-1571.02	-0.0266185	4.57944e+08
-397603	-1743.86	-0.0368799	3.28208e+08
-460245	-1865.93	-0.0271002	4.72445e+08
-384297	-1615.66	-0.0279562	4.34133e+08
